cnpj,razao_social,nome_fantasia,situacao_cadastral,data_situacao,motivo_situacao,data_abertura,matriz_filial,natureza_juridica,mei,simples,capital_social,porte,cnae_principal_codigo,cnae_principal_descricao,cnaes_secundarios,logradouro,numero,complemento,bairro,cep,municipio,uf,telefone1,telefone2,email,socios,ultima_atualizacao
67.870.906/0001-38,CONDOMINIO RESIDENCIAL AMOROSO,-,ATIVA,,,25/08/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Pinguins,114,,Chacara Santo Antonio Zona Leste,03407090,SAO PAULO,SP,(11) 999999999,,,,
67.863.591/0001-00,PROJETO IMOBILIARIO DI 20,PROJETO IMOBILIARIO DI 20 FLIX,ATIVA,,,12/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,R ANTONIO DO CAMPO,843,,PEDREIRA,04459000,SAO PAULO,SP,(11) 37598100,,,,
67.858.997/0001-96,CONDOMINIO ON CARDOSO DE MELO,-,ATIVA,,,12/02/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,R ALVORADA,1.034,,VILA OLIMPIA,04550004,SAO PAULO,SP,(11) 31915000,,,,
67.851.194/0001-00,LIFT VILA DAS BELEZAS,-,ATIVA,,,10/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,R ARISTODEMO GAZZOTTI,128,138,VILA DAS BELEZAS,05840020,SAO PAULO,SP,(11) 37598100,,,,
67.847.792/0001-05,RESIDENCIAL ARCOS,-,ATIVA,,,25/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Campinas do Piaui,555,,Itaquera,08210000,SAO PAULO,SP,(11) 54611056,,,,
67.831.049/0001-67,MY ONE VILA CLEMENTINO,-,ATIVA,,,22/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Mirassol,313,297 315 325 333 341,Vila Clementino,04044010,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
67.828.512/0001-11,BIOS SANTO AMARO,-,ATIVA,,,09/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,R ELIAS ANTONIO ZOGBI,90,,SANTO AMARO,04746115,SAO PAULO,SP,(11) 32345555,,,,
67.824.918/0001-26,CONDOMINIO ARENA KAZZAS ITAQUERA II,-,ATIVA,,,27/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,AV GIOVANNI GIUSTI,980,,CIDADE ANTONIO ESTEVAO DE CARVALHO,08220095,SAO PAULO,SP,(11) 31915000,,,,
67.819.597/0001-71,CONDOMINIO BLESS RSF PRACA DA ARVORE,-,ATIVA,,,08/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Fernando de Noronha,351,,Chacara Inglesa,04141050,SAO PAULO,SP,(11) 31451322,,,,
67.813.957/0001-28,VIVA CITY JARAGUA,-,ATIVA,,,15/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida Amador Aguiar,700,,Jaragua,02998020,SAO PAULO,SP,(11) 53908211,,,,
67.813.950/0001-06,EDIFICIO VISTA SUL,Edificio Vista Sul,ATIVA,,,12/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida Engenheiro Armando de Arruda Pereira,7212,,Vila do Encontro,04325001,SAO PAULO,SP,(11) 20830873,,,,
67.812.779/0001-10,RESIDENCIAL VISTA,-,ATIVA,,,25/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Benedito Guedes de Oliveira,587,,Vila Palmeiras,02727030,SAO PAULO,SP,(11) 31915000,,,,
67.811.360/0001-44,RESIDENCIAL VIVA ITAMARACA,-,ATIVA,,,29/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,R CAPITANIA DE ITAMARACA,318,,VILA CARMOSINA,08290430,SAO PAULO,SP,(11) 54611056,,,,
67.795.079/0001-65,CONDOMINIO RESIDENCIAL MIRAGEM ANALIA FRANCO,Condominio Residencial Miragem Analia Franco,ATIVA,,,08/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Miragem,182,Edif 188,Vila Regente Feijo,03346020,SAO PAULO,SP,(11) 59900909,,,,
67.785.467/0001-65,CONDOMINIO DOMO TATUAPE ONE,Condominio Domo Tatuape One,ATIVA,,,29/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Terra Roxa,166,,Cidade Mae do Ceu,03305010,SAO PAULO,SP,(11) 968949532,,,,
67.775.436/0001-23,CONDOMINIO EDIFICIO VITA NUOVA,-,ATIVA,,,01/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Pimenta Bueno,56,,Chacara Tatuape,03060000,SAO PAULO,SP,(35) 998066447,,,,
67.757.496/0001-13,CONDOMINIO VISION PENHA,-,ATIVA,,,31/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida Amador Bueno da Veiga,1125,,Penha de Franca,03636100,SAO PAULO,SP,(31) 40001120,,,,
67.753.713/0001-05,METROCASA AMADOR BUENO,-,ATIVA,,,23/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Vera,97,,Vila Granada,03623000,SAO PAULO,SP,(11) 54611056,,,,
67.752.375/0001-89,RESIDENCIAL AVELAR,Residencial Avelar,ATIVA,,,13/01/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Paulo de Avelar,1027,,Vila Dom Pedro II,02243010,SAO PAULO,SP,(11) 22814200,,,,
67.746.209/0001-70,MAX VILLA LOBOS,-,ATIVA,,,08/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida Maestro Villa-Lobos,53,,Vila Gustavo,02266000,SAO PAULO,SP,(11) 37598100,,,,
67.743.193/0001-41,DO IT FREI CANECA,Do It Frei Caneca,ATIVA,,,28/11/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Frei Caneca,703,,Consolacao,01307001,SAO PAULO,SP,(11) 31863400,,,,
67.740.389/0001-82,CONDOMINIO EDIFICIO VEGAS TOWER,Condominio Edificio Vegas Tower,ATIVA,,,22/01/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Calixto de Jesus Netto,128,Cond 244,Jardim Sao Jose (Zona Norte),02969140,SAO PAULO,SP,(11) 991298045,,,,
67.730.295/0001-22,PROJETO IMOBILIARIO E79 C1,-,ATIVA,,,07/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua dos Silvas,225,,Vila Nina,02833080,SAO PAULO,SP,(11) 972087695,,,,
67.726.988/0001-41,CONDOMINIO RESIDENCIAL BERNARDO,-,ATIVA,,,01/08/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Bernardo de Sousa,127,,Parque Cruzeiro do Sul,08070140,SAO PAULO,SP,(11) 27833605,,,,
67.726.537/0001-04,CONDOMINIO K VILA DOS REMEDIOS,-,ATIVA,,,02/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida dos Remedios,870,,Vila Santa Edwiges,05107001,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
67.709.293/0001-51,CONDOMINIO MONTEAZUL,Condominio Monte Azul,ATIVA,,,26/06/2024,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Engenheiro Americo da Graca Martins,77,,Jardim Monte Azul,05836170,SAO PAULO,SP,(11) 31817396,,,,
67.709.180/0001-56,CONDOMINIO MINI RESIDENCIAL HOUSE TUCURUVI III,Residencial Mini House III,ATIVA,,,20/01/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Salvador Bicudo,38,,Tucuruvi,02307250,SAO PAULO,SP,(11) 31817396,,,,
67.706.881/0001-31,CONDOMINIO RESIDENCIAL COLIBRI,-,ATIVA,,,13/12/2024,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Barreto de Menezes,76,,Vila Carrao,03441020,SAO PAULO,SP,(11) 34599648,,,,
67.705.289/0001-15,NEX ONE AIMBERE,-,ATIVA,,,18/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Aimbere,436,,Perdizes,05018010,SAO PAULO,SP,(11) 31915000,,,,
67.689.469/0001-50,PROJETO IMOBILIARIO E 93,Condominio Tag Nacoes Unidas,ATIVA,,,26/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Taguapaca,261,,Vila Gea,04691170,SAO PAULO,SP,(11) 31915000,,,,
67.688.204/0001-38,CONDOMINIO GRAND SQUARE,-,ATIVA,,,11/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Arare,171,,Chacara Inglesa,04141080,SAO PAULO,SP,(11) 31915000,,,,
67.687.242/0001-76,RESIDENCIAL OLIMPIO CASTRO,-,ATIVA,,,10/02/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Sousa Rocha,21,,Chacara Belenzinho,03376080,SAO PAULO,SP,(11) 991266762,,,,
67.684.963/0001-22,CONDOMINIO RESIDENCIAL CYGNUS,-,ATIVA,,,11/02/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Carlos Maria Steimberg,195,,Vila Re,03669000,SAO PAULO,SP,(11) 20829898,,,,
67.681.345/0001-29,PROJETO IMOBILIARIO DI 11,Condominio Nort Limao,ATIVA,,,07/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Coronel Euclides Machado,525,,Jardim das Gracas,02713000,SAO PAULO,SP,(11) 31915000,,,,
67.673.950/0001-58,RESIDENCIAL ELENICE S LIMA,-,ATIVA,,,08/01/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Henrique Braglia,412,,Vila Dom Pedro II,02244000,SAO PAULO,SP,(11) 965857577,,,,
67.667.015/0001-89,CONDOMINIO RESIDENCIAL E COMERCIAL ON PENHA,-,ATIVA,,,21/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Evans,212,220,Vila Esperanca,03648020,SAO PAULO,SP,(11) 54611056,,,,
67.662.376/0001-32,LIVING INFINITY NOVA KLABIN,-,ATIVA,,,06/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Vergueiro,5200,5210 5222,Vila Firmiano Pinto,04272000,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
67.662.298/0001-76,CONDOMINIO EDIFICIO VILA CARIOCA,-,ATIVA,,,05/12/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Floriano de Sa,72,,Vila Independencia,04221050,SAO PAULO,SP,(11) 48017900,,,,
67.659.828/0001-27,CONJUNTO HABITACIONAL GUAIANAZES A32 CONDOMINIO 2,Edificio Henriqueta,ATIVA,,,18/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida Henriqueta Noguez Brieba,20,Bloco a Apt 51,Conjunto Habitacional Fazenda do Carmo,08421530,SAO PAULO,SP,(11) 45573527,,,,
67.644.285/0001-74,CONDOMINIO LEAF LOEFGREN,-,ATIVA,,,18/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Francisco Aquarone,69,77 e 95 R DR Bacelar 535 R Loefgren 2244 2270 e 2278,Vila Clementino,04026020,SAO PAULO,SP,(11) 31452711,,,,
67.611.439/0001-21,PROJETO IMOBILIARIO JARDIM IMPERADOR IX,Condominio Araucaria - Alto do Jardim,ATIVA,,,28/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Professor Artur Primavesi,575,,Parque Bristol,04177070,SAO PAULO,SP,(11) 31915000,,,,
67.591.850/0001-82,CONDOMINIO PROJETO IMOBILIARIO DI 31 I,Vero Encanto,ATIVA,,,04/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Imbacal,422,,Parada XV de Novembro,08246025,SAO PAULO,SP,(11) 37598100,,,,
67.586.672/0001-00,CONDOMINIO METROCASA INTERLAGOS,-,ATIVA,,,01/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Juari,130,160,Jardim Sabara,04446160,SAO PAULO,SP,(11) 37598100,,,,
67.585.447/0001-40,GUIDO PARQUE SANTO AMARO,-,ATIVA,,,05/02/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida Guido Caloi,2137,,Jardim Sao Luis,05802140,SAO PAULO,SP,(11) 31915000,,,,
67.581.084/0001-75,CONJUNTO HABITACIONAL NOVO BRASIL - QUADRA 12,Conjunto Habitacional Novo Brasil - Quadra 12,ATIVA,,,02/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Camefis,265,,Jardim Itajai,04855120,SAO PAULO,SP,(11) 993960898,,,,
67.579.233/0001-61,CASA JARDIM CHAPEL,-,ATIVA,,,06/03/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Vigario Joao de Pontes,66,,Santo Amaro,04748000,SAO PAULO,SP,(11) 37455227,,,,
67.568.954/0001-76,UP HOUSE TATUAPE,-,ATIVA,,,30/12/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Pedro Bellegarde,136,150,Chacara California,03317080,SAO PAULO,SP,(11) 29443297,,,,
67.568.284/0001-98,HBR CORPORATE TOWER - EDIFICIO ROSARIO PASSARO,-,ATIVA,,,25/08/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Joao Moura,740,,Pinheiros,05412003,SAO PAULO,SP,(11) 47937555,,,,
67.567.104/0001-53,RESIDENCIAL VILLAGIO FRANCIA,Villagio Francia,ATIVA,,,25/04/2024,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Jose de Albuquerque Medeiros,700,,Agua Fria,02336000,SAO PAULO,SP,(11) 29827100,(11) 29827109,,,
67.560.208/0001-36,CONDOMINIO WELCONX VILLA POMPEIA,Welconx Villa Pompeia Central,ATIVA,,,30/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Padre Chico,749,,Perdizes,05008010,SAO PAULO,SP,(11) 37598100,,,,
67.559.644/0001-95,TODAY JOAQUIM TAVORA,-,ATIVA,,,18/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Joaquim Tavora,119,143,Vila Mariana,04015000,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
67.559.297/0001-09,CONDOMINIO CITZY PAULISTA,-,ATIVA,,,12/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Carlos Sampaio,158,E 176,Bela Vista,01333020,SAO PAULO,SP,(11) 31452711,,,,
67.555.853/0001-60,RESIDENCIAL FRANCISCO INACIO 311,Residencial Francisco Inacio 311,ATIVA,,,02/12/2024,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Coronel Francisco Inacio,311,,Vila Moinho Velho,04286000,SAO PAULO,SP,(11) 32844170,,,,
67.549.740/0001-52,CONDOMINIO BAUME ITAIM,-,ATIVA,,,27/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Consorcio,130,,Vila Nova Conceicao,04535090,SAO PAULO,SP,(11) 38930000,,,,
67.544.713/0001-97,CONDOMINIO RESIDENCIAL LUVISOTTO I,Condominio Residencial Luvisotto I,ATIVA,,,24/01/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Cabinda,126,,Vila Lucia,03144040,SAO PAULO,SP,(11) 20846436,,,,
67.543.446/0001-33,NURBAN VILA CLEMENTINO,-,ATIVA,,,31/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Doutor Diogo de Faria,448,,Vila Clementino,04037001,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
67.533.784/0001-94,CONDOMINIO UNIQUE SANTANA,Unique Santana,ATIVA,,,11/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Conselheiro Pedro Luis,154,,Santana,02020050,SAO PAULO,SP,(11) 29413943,,,,
67.529.779/0001-08,EDIFIFIO KALIL I,Condominio Edificio Kalil,ATIVA,,,09/04/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Antonio Guganis,321,Edif 1,Jardim Sao Paulo(Zona Norte),02044110,SAO PAULO,SP,(11) 22819498,,,,
67.529.678/0001-37,METROCASA SANTO AMARO,Metrocasa Santo Amaro,ATIVA,,,05/03/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Joao Alfredo,342,348/350/354,Santo Amaro,04747000,SAO PAULO,SP,(11) 37960203,,,,
67.516.523/0001-66,CONDOMINIO WISH 675,-,ATIVA,,,19/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Professor Aprigio Gonzaga,675,,Sao Judas,04303001,SAO PAULO,SP,(11) 38930000,,,,
67.515.447/0001-74,CONDOMINIO VILLAS DO PARQUE,Condominio Villas do Parque,ATIVA,,,05/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Avenida Lacerda Franco,1326,,Cambuci,01536001,SAO PAULO,SP,(11) 55610464,,,,
67.514.975/0001-09,EDIFICIO FRANCISCO LIPI,-,ATIVA,,,03/06/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Capitao Francisco Lipi,113,,Vila Dom Pedro II,02243000,SAO PAULO,SP,(11) 32561970,,,,
67.510.787/0001-02,CONDOMINIO VILA CLARICE,-,ATIVA,,,17/12/2024,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Major Alfredo Romao,S/N,,Vila Clarice,05177030,SAO PAULO,SP,(11) 999999999,,,,
67.501.421/0001-77,FW HOUSE VILA GUSTAVO,Residencial FW House Vila Gustavo,ATIVA,,,16/12/2024,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Antonio de Souza,77,,Jardim Neila,02205030,SAO PAULO,SP,(11) 31817396,,,,
67.499.869/0001-01,CONDOMINIO RESIDENCIAL MARIA FELIPA,-,ATIVA,,,18/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Forte do Rio Branco,626,,Parque Sao Lourenco,08340140,SAO PAULO,SP,(11) 32565180,,,,
67.499.594/0001-06,CONDOMINIO RESIDENCIAL MIGUEL PESSOA,-,ATIVA,,,11/02/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Rua Pedro Talarico,635,,Vila Talarico,03534000,SAO PAULO,SP,(11) 23891367,,,,
67.311.302/0001-51,EDIFICIO CONDESSA,-,ATIVA,,,26/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,Praca Tenorio de Aguiar,91,,Jardim Sao Paulo(Zona Norte),02044080,SAO PAULO,SP,(11) 999701704,,,,
67.298.557/0001-21,CONDOMINIO RESIDENCIAL D'AMICO,COND RES D'AMICO,ATIVA,,,12/12/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA SAO SEVERIANO,204,,VILA SANTANA,03613030,SAO PAULO,SP,(11) 55838527,,,,
67.294.974/0001-04,VIVAZ PRIME BELENZINHO,-,ATIVA,,,06/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA JULIO DE CASTILHOS,280,,BELENZINHO,03059001,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
67.290.604/0001-90,RESIDENCIAL VIVENCE STATION,RESIDENCIAL VIVENCE STATION,ATIVA,,,12/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA PAULO DE FARIA,126,,VILA GUSTAVO,02267000,SAO PAULO,SP,(11) 22814200,,,,
67.284.910/0001-14,RESIDENCIAL DUDA NAPOLI,-,ATIVA,,,13/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA PAULO CESAR,273,,VILA MAZZEI,02311240,SAO PAULO,SP,(11) 965857577,,,,
67.276.324/0001-28,CONDOMINIO RESIDENCIAL EDIFICIO STUDIO CONSELHEIRO,CONDOMINIO RESIDENCIAL EDIFICIO STUDIO CONSELHEIRO,ATIVA,,,20/05/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CONSELHEIRO MOREIRA DE BARROS,120,,SANTANA,02018012,SAO PAULO,SP,(11) 59900909,,,,
67.272.028/0001-59,RESIDENCIAL VILA CARRAO,-,ATIVA,,,19/02/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA PEDRO VOSS,641,,VILA CARRAO,03437000,SAO PAULO,SP,(11) 991266762,,,,
67.267.962/0001-82,PRACA OMAGUAS PINHEIROS,-,ATIVA,,,30/01/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,PRACA DOS OMAGUAS,88,,PINHEIROS,05419020,SAO PAULO,SP,(11) 31915000,,,,
67.265.166/0001-00,CONDOMINIO RESIDENCIAL REPLAY TATUAPE,-,ATIVA,,,09/05/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA IPIGUA,242,,CIDADE MAE DO CEU,03306090,SAO PAULO,SP,(11) 20924804,,,,
67.251.930/0001-99,CONDOMINIO RESIDENCIAL AFFITTO,-,ATIVA,,,15/01/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CONSELHEIRO COTEGIPE,614,,BELENZINHO,03058000,SAO PAULO,SP,(11) 26183388,,,,
67.231.049/0001-26,CONDOMINIO RESIDENCIAL MARIA VIEIRA RIBEIRO,-,ATIVA,,,19/09/2025,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA MARIA VIEIRA RIBEIRO,844,,VILA CARRAO,03438030,SAO PAULO,SP,(11) 31290102,,,,
67.216.964/0001-42,RESIDENCIAL MIA LIBLIK,-,ATIVA,,,27/11/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA TAPACOAS,59,,VILA SANTA CLARA,03273300,SAO PAULO,SP,(11) 20763621,,,,
67.146.135/0001-30,MUNDO APTO CAMPO BELO,-,ATIVA,,,16/04/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA GALILEU,508,,JARDIM AEROPORTO,04632040,SAO PAULO,SP,(11) 31915000,,,,
67.128.543/0001-60,CONDOMINIO RESIDENCIAL HAUS ALTO DO IPIRANGA,-,ATIVA,,,09/01/2026,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA TUPANACI,416,,VILA GUMERCINDO,04131020,SAO PAULO,SP,(11) 29546444,,,,
